Timestamp,How would you rate the usability of the web page?,How would you rate the visual appeal of the web page?,"In terms of usability, what score would you give to the following features? [Uploading tracks]","In terms of usability, what score would you give to the following features? [Plotting track on the map]","In terms of usability, what score would you give to the following features? [Flying to subsequent tracks]","In terms of usability, what score would you give to the following features? [Speed-Elevation Plotting]","In terms of usability, what score would you give to the following features? [Summary statistics]","In terms of usability, what score would you give to the following features? [Accessibility options]",Which feature did you find the most difficult to use and why?,How do you think the usability of that feature could be improved?,"In terms of visual appeal, what score would you give to the data visualisation features below? [Plotting track on the map]","In terms of visual appeal, what score would you give to the data visualisation features below? [Speed-Elevation Plotting]","In terms of visual appeal, what score would you give to the data visualisation features below? [Summary statistics]",The design of which feature did you find the most appealing visually and why?,The design of which feature did you find the visually least appealing and why?,How do you think the design of that feature could be improved?,How would you rate the ability of the below data visualisation tools to portray meaningful information about the uploaded geographical data? [Plotting track on the map],How would you rate the ability of the below data visualisation tools to portray meaningful information about the uploaded geographical data? [Speed-Elevation Plotting],How would you rate the ability of the below data visualisation tools to portray meaningful information about the uploaded geographical data? [Summary statistics],Which data visualisation feature did you find the most informative and why?,Which data visualisation feature did you find the least informative and why?,How do you think that feature could be made more informative?,How would you rate the likeliness of you recommending the website to your friends?,What new feature would you add to the website and why?,Is there anything else that you would like to mention about the web page that could/should be improved?
11/23/2018 12:48:59,4,4,Good,Very Good,Very Good,Very Good,Good,Good,Looking at points on the chart,"bigger chart, so its less cluttered",Good,Average,Good,Map,Chart,Bigger chart,Good,Average,Good,Map,Colour bar,Incorrect use of colour gradient,6,"Compare the same route, but different runs",
11/23/2018 12:54:05,5,5,Very Good,Very Good,Very Good,Very Good,Very Good,Good,All the features are clear and easy enough to use.,N.A,Very Good,Good,Very Good,"The map view with exercise route is very clear, the animation of showing the route om map is ell designed. ",The speed-elevation plotting is generally nice but the plot is a little bit small.,Make it larger will show the data stats clearer ,Very Good,Very Good,Very Good,"The summary statistics, which has clear pie chart and colour bar showing information. ",N.A,N.A,10,"When clicking on the squares indication different submission, it will be nice if it can redirect user back to preview analysis.",
11/23/2018 13:04:39,5,5,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,There was nothing difficult.,It can't be improved.,Very Good,Very Good,Very Good,Graphs. Very clean and readable.,There were no such features.,Impossible.,Very Good,Very Good,Very Good,Average speed.,Elevation.,Scrap it.,10,No new features.,It is very sexy.
11/23/2018 13:06:45,5,4,Very Good,Good,Very Good,Good,Average,Very Good,reading elevation and speed,slightly less cramped data would make it more readable,Very Good,Average,Very Good,summary statistics,"speed elevation plotting, hard to read",slightly less cramped data would make it more readable,Very Good,Average,Very Good,"summary statistics, easy to read, well formatted and colourful to catch eye",top graph,clearer info,9,nothing,good.
11/23/2018 13:10:42,4,3,Good,Very Good,Good,Average,Very Good,Very Good,The Speed-Elevation graph. It is too small to see specific data.,Make it larger ,Very Good,Poor,Very Good,"Overall statistics , easy to understand due to colour coordination  ","The Speed-Elevation graph, it is too cramped together ",Make it larger ,Good,Very Poor,Very Good,Overall statistics  as it was very easy to read data ,The Speed-Elevation graph as it was very hard to read data ,Make it larger  so the data could be read off easily ,7,Night mode ,A more obvious notation on where data is plotted on the map when zoomed out  
11/23/2018 13:19:04,5,4,Very Good,Very Good,Very Good,Good,Very Good,Very Good,Nothing,N/a,Very Good,Good,Very Good,I love the pie chart,The way that multiple files are represented,"I think it can be clearer with a label or something, at first I thought they were buttons that could be clicked.",Very Good,Very Good,Very Good,Distance travelled,The map,"I think if some start and end markers were added, it would be more meaningful",10,A hot line on the map to show the changes of heart rate/elevation/cadence along different paths of the route,"Nope, well done"
11/23/2018 13:20:22,4,4,Good,Very Good,Very Good,Average,Average,Good,"When I had just uploaded one file, clicking next track was still possible but obviously didn't do anything.  I was a little confused until I uploaded multiple tracks and learned I could use the button to toggle between tracks which was nice.  I also didn't realise that the maps tracks are not clickable per say, you can drag the map around but the track itself doesn't offer additional functions. The cursor has the grabby hand, which makes it feel like you should be able to do more.","The ""next track"" button should offer better guidance, either to be greyed out when only one track is uploaded, or for example to pop up with ""upload additional tracks to use this feature"" if it is clicked before multiple tracks are uploaded.",Good,Good,Very Good,"The summary stats look nice, but I did have to click through a few tracks to notice there were differences in the colours that were meaningful.","The elevation and speed was relatively standard, which in one sense is a little boring but on the flipside is familiar and easy to understand.  Not every feature needs to a be radical design so even if it's not very exciting the elevation and speed do work well as visualisations.","Perhaps some additional interactivity to link it to the map below, for exampel hovering on parts of the track in the map and highlighting the relevant part of the speed/elevation visualisation.",Very Good,Good,Very Good,"Summary stats have a lot of good information, and the design is nice and skimmable if you are looking for overall stats.","All the features are pretty packed with information, they are all quite informative.",N.A,8,"Hovering functions to add more info if details are wanted for all visualisations.  There is a great high level info, but some people like to dig in at the details, for example looking at the stats for a particular hill or stretch of difficult running.","Font size is all over the shop, can make the overall layout look at a little scattered."
11/23/2018 13:30:23,5,5,Very Good,Very Good,Very Good,Very Good,Good,Good,Understanding the color bar of the speed,Show a start point of the run. Make it non-scrollable,Very Good,Very Good,Good,"I liked the pie chart, unique way of using the data.",I think the speed plot is too thick. Make the line thinner.,Make it thinner.,Very Good,Very Good,Good,"I like the distance travelled as it splits up how much was uphill,downhill and horizontally. ",Total time spent.,Make it from start time to end time in hr/mm/ss,9,Is fine as it is,
11/23/2018 13:31:08,5,4,Very Good,Very Good,Very Good,Good,Very Good,Very Good,none  - was all very straightforward and easy to understand and use,n/a,Good,Good,Good,"The ""distance travelled"" pie chart","the average speed window - just because of the colours chosen and I felt that they didn't fit in particularly well with the rest of the page, but that is just an aesthetic thing - I could understand what it was conveying.",A slightly more cohesive colour scheme,Good,Good,Very Good,"the distance travelled chart, because knowing how much of your run/walk/cycle was uphill is useful information and also the visualisation was easy to read and pleasingly animated","the speed-plot elevation was fine, but it was hard to relate how the graph related to the map.",the ability to hover over a point on the map and see where it relates to the speed/elevation plot would make it easier to understand how the two are linked,7,a visualisation of heart-rate would be nice,
11/23/2018 13:54:45,4,4,Good,Good,Good,Poor,Average,Very Good,"Site navigation, scrolling moves the map, instead of the site",Make map smaller,Very Good,Average,Very Good,Piechart,Random colour gradient,Remove it,Good,Good,Very Good,Piechart,Colour gradient,"Don't use it, since its just a number",6,Remember previous tracks,
11/23/2018 13:55:56,5,4,Very Good,Average,Average,Good,Very Good,Poor,"The ""Next Track"" feature was a bit confusing at first. I didn't realise that it was related to the files I upload, or the boxes above that indicate the track.","Switching through the uploaded tracks could be improved, e.g. go to previous track, or jump to a different track, also show the names of uploaded tracks.",Good,Good,Very Good,Pie chart of distance travelled. It is a useful breakdown and has good colour coding.,The squares indicating the uploaded files could use more detail. ,"E.g. if you hover over one of the squares, it could show the name of the track. Also the name of the track could be bigger, and in the centre of the page.",Good,Good,Very Good,The speed-elevation plotting shows a lot of useful details but at the same time is simple and easy to use.,"The plotting track on the map is not ""connected"" with any of the other features.","It would be nice if you can click or hover somewhere on the map and see the corresponding speed, elevation etc. Or if you click on a pie chart section it could highlight the corresponding sections on the map.",8,"It would be helpful to indicate the start and end of each track on the map. Also, if you click somewhere on the speed/elevation graph, it would be nice to see where that point was on the map.","For accessibility, the only thing taken into account is the size/style of the fonts. Font style is irrelevant. You could consider something like increased contrast or colourblind mode. Also, having alt text in html elements to make it work with screen reader."
11/23/2018 13:59:57,3,2,Good,Very Good,Very Good,Poor,Very Good,Average,NaN when there is a missing datapoint,One word: Loot boxes,Very Good,Good,Good,The map and the pie chart,"Colouring the numbers: You display the same dimension as a number and a colour. It's pointless. Pick one or the other. 

Alternatively if you want to be fancy you can display on that linear scale the position of the speed (on the top) and position of the distance covered (on the bottom)

Also the speed-elevation plot gets cluttered when there is too much datapoints: If I were you I'd check at what point it gets cluttered and do a Kalman Smoother on the data. Alternatively you could take the moving average of the data if you don't want to go into state-space modelling.",See above.,Very Good,Average,Very Good,Summary stats. Because I like stats,speed-elevation plot. It gets cluttered when you have too many datapoints: run a smoother,See above,9,Calculate calories burnt (and show total calories burnt and calories burnt per run),
11/23/2018 14:06:23,5,5,Good,Very Good,Very Good,Very Good,Very Good,Good,There was no difficulty in using this app - it was very smooth.,Upload multiple files at once.,Very Good,Very Good,Very Good,"The animation of the summary statistics, it was very easy on the eye.",None,Perhaps a bit more height dedicated to the plots above the map.,Good,Very Good,Very Good,The distance travelled - the breakdown of the 'gradient' was very helpful.,I can't think of any improvements for this aspect of the app.,---,10,"The ability to upload multiple files at once, and select them rather than rotating round the queue.",The name of the track below the select track option.
